example_id                                                      | status | run_time        |
./spec/services/events/recalculate_totals_spec.rb[1:1:6:2]      | passed | 0.06293 seconds |
./spec/services/events/recalculate_totals_spec.rb[1:1:6:3]      | passed | 0.03969 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:1:1]        | passed | 0.03247 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:1:2]        | passed | 0.04186 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:1:3]        | passed | 0.03896 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:1:4]        | passed | 0.04335 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:1:5]        | passed | 0.02636 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:1:6]        | passed | 0.02602 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:2:1]        | passed | 0.00915 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:3:1]        | passed | 0.00925 seconds |
./spec/services/events/sync_shift_times_spec.rb[1:1:4:1]        | passed | 6.35 seconds    |
./spec/services/events/sync_shift_times_spec.rb[1:1:4:2]        | passed | 5.58 seconds    |
./spec/services/events/sync_shift_times_spec.rb[1:1:5:1]        | passed | 0.02972 seconds |
./spec/services/shift_assignment_service_spec.rb[1:1:1:1]       | passed | 0.06859 seconds |
./spec/services/shift_assignment_service_spec.rb[1:1:2:1]       | passed | 0.01497 seconds |
./spec/services/shift_assignment_service_spec.rb[1:1:3:1]       | passed | 0.03107 seconds |
./spec/services/shift_assignment_service_spec.rb[1:1:4:1]       | passed | 0.03929 seconds |
./spec/services/shift_assignment_service_spec.rb[1:1:5:1]       | passed | 0.05358 seconds |
./spec/services/shift_assignment_service_spec.rb[1:1:6:1]       | passed | 0.05728 seconds |
./spec/services/shift_assignment_service_spec.rb[1:1:7:1]       | passed | 0.02154 seconds |
./spec/services/shift_assignment_service_spec.rb[1:2:1]         | passed | 0.07537 seconds |
./spec/services/shift_assignment_service_spec.rb[1:2:2]         | passed | 0.02802 seconds |
./spec/services/shift_assignment_service_spec.rb[1:3:1]         | passed | 0.06199 seconds |
./spec/services/shift_assignment_service_spec.rb[1:3:2]         | passed | 0.15104 seconds |
